"","p4","p26","p3_4","p8_1","p19","p32","edad"
"347",0,0,0,0,0,0,71
"348",0,60,2,0,3,0,30
"349",0,30,2,0,0,0,54
"350",0,20,2,0,2,0,35
"351",4,20,2,2,3,0,30
"352",2,60,2,2,3,0,26
"353",0,30,2,0,3,0,28
"354",50,50,2,2,0,0,25
"355",8,40,2,1,1,0,67
"356",7,60,2,1,1,0,43
"357",4,50,2,2,1,0,61
"358",0,0,2,0,0,3,29
"359",1,35,2,2,2,0,43
"360",0,25,2,0,3,0,53
"361",0,0,2,0,0,1,75
"362",3,60,1,1,1,0,31
"363",1,60,2,2,0,0,69
"364",3,120,2,2,0,0,34
"365",0,0,2,0,0,3,58
"366",1,30,2,2,0,0,55
"367",2,30,2,2,0,0,20
"368",0,30,2,0,0,0,28
"369",0,20,2,0,0,0,33
"370",0,20,2,0,2,0,65
"371",0,30,2,0,3,0,51
"372",0,30,2,0,3,0,44
"373",0,40,2,0,3,0,32
"374",0,30,2,0,2,0,70
"375",0,0,2,0,0,1,71
"376",0,30,2,0,2,0,36
"377",1,60,2,2,0,0,70
"378",0,0,2,0,0,5,87
"379",0,20,2,0,2,0,46
"380",0,0,2,0,0,2,68
"381",1,30,2,2,1,0,31
"382",5,120,2,2,0,0,20
"383",0,0,2,0,0,1,63
"384",0,0,2,0,0,5,80
"385",0,25,2,0,3,0,34
"386",0,20,2,0,3,0,52
"387",4,120,2,2,0,0,18
"388",0,0,2,0,0,3,51
"389",0,20,2,0,3,0,78
"390",0,10,2,0,3,0,51
"391",0,0,2,0,0,1,48
"392",0,20,2,0,0,0,53
"393",0,0,2,0,0,3,59
"394",0,0,2,0,0,1,68
"395",0,0,2,0,0,1,37
"396",0,40,2,0,3,0,34
"397",0,30,2,0,3,0,28
"398",0,25,2,0,0,0,26
"399",0,15,2,0,2,0,67
"400",3,30,2,2,2,0,71
"401",0,30,2,0,2,0,71
"402",0,20,2,0,2,0,74
"403",0,0,2,0,0,1,31
"404",4,90,2,1,0,0,52
"405",2,90,2,2,3,0,39
"406",5,90,2,1,0,0,22
"407",6,120,2,1,3,0,29
"408",5,30,2,1,1,0,36
"409",5,60,2,1,1,0,46
"410",4,40,2,1,1,0,38
"411",0,30,2,0,0,0,62
"412",0,30,2,0,0,0,42
"413",0,0,2,0,0,3,48
"414",0,20,2,0,0,0,40
"415",0,20,2,0,0,0,67
"416",0,15,2,0,0,0,41
"417",0,30,2,0,0,0,56
"418",1,60,2,2,0,0,58
"419",2,30,2,2,0,0,23
"420",0,20,2,0,0,0,49
"421",2,30,2,2,0,0,30
"422",1,35,2,2,0,0,70
"423",0,0,2,0,0,5,89
"424",0,0,2,0,0,3,37
"425",0,0,2,0,0,1,20
"426",1,60,2,2,3,0,53
"427",3,60,2,2,0,0,25
"428",0,0,2,0,0,5,82
"429",0,15,2,0,2,0,51
"430",0,0,2,0,0,3,33
"431",0,0,2,0,0,5,84
"432",0,0,2,0,0,3,30
"433",0,20,2,0,0,0,32
"434",0,0,2,0,0,3,38
"435",0,40,2,0,3,0,70
"436",0,15,2,0,2,0,64
"437",0,0,2,0,0,3,44
"438",0,0,2,0,0,1,72
"439",0,0,2,0,0,5,54
"440",0,20,2,0,3,0,32
"441",0,0,2,0,0,3,45
"442",0,0,2,0,0,3,53
"443",1,35,2,2,2,0,24
"444",1,30,2,2,0,0,76
"445",0,20,2,0,0,0,58
"446",0,20,2,0,0,0,52
"447",1,40,2,2,0,0,65
"448",0,20,2,0,0,0,52
"449",0,0,2,0,0,3,51
"450",0,0,2,0,0,5,74
"451",0,40,2,0,0,0,21
"452",2,45,2,2,1,0,23
"453",2,30,2,2,1,0,54
"454",0,0,2,0,0,5,73
"455",2,60,2,2,1,0,41
"456",3,40,2,1,1,0,51
"457",2,40,2,2,0,0,45
"458",0,0,2,0,0,3,27
"459",1,50,2,2,3,0,38
"460",0,20,2,0,3,0,60
"461",3,40,2,2,0,0,49
"462",0,0,2,0,0,1,68
"463",0,15,2,0,3,0,44
"464",0,0,2,0,0,5,73
"465",0,25,2,0,2,0,49
"466",0,20,2,0,3,0,26
"467",0,15,2,0,2,0,46
"468",0,0,2,0,0,3,23
"469",0,0,2,0,0,3,59
"470",0,40,2,0,3,0,41
"471",0,30,2,0,0,0,25
"472",0,0,2,0,0,3,21
"473",0,20,2,0,0,0,25
"474",0,0,2,0,0,5,75
"475",0,20,2,0,3,0,56
"476",5,60,2,1,1,0,27
"477",0,0,2,0,0,3,43
"478",0,0,2,0,0,5,73
"479",3,30,2,1,1,0,43
"480",0,0,2,0,0,2,46
"481",0,0,2,0,0,2,24
"482",0,0,2,0,0,1,47
"483",0,0,2,0,0,1,51
"484",0,0,2,0,0,1,64
"485",0,20,2,0,0,0,58
"486",0,0,2,0,0,3,37
"487",2,30,2,2,0,0,65
"488",3,30,1,1,2,0,24
"489",3,30,2,2,0,0,44
"490",0,0,2,0,0,2,34
"491",0,40,2,0,0,0,56
"492",0,0,2,0,0,5,65
