"","p4","p26","p3_1","p3_4","p8_1","p5","p32"
"285",8,45,1,1,1,2,0
"286",0,0,2,2,0,0,1
"287",6,60,1,2,1,2,0
"288",0,5,2,2,0,0,0
"289",0,0,2,2,0,0,3
"290",5,45,1,1,1,1,0
"291",4,45,1,2,2,4,0
"292",0,30,2,2,0,0,0
"293",0,0,2,2,0,0,5
"294",0,0,2,2,0,0,3
"295",0,0,2,2,0,0,1
"296",0,0,2,2,0,0,1
"297",0,0,2,2,0,0,3
"298",3,30,1,2,2,5,0
"299",0,30,2,2,0,0,0
"300",2,60,1,2,2,4,0
"301",0,15,2,2,0,0,0
"302",0,0,2,2,0,0,3
"303",2,30,1,2,1,4,0
"304",0,120,2,2,0,0,0
"305",0,30,2,2,0,0,0
"306",0,0,2,2,0,0,5
"307",0,0,2,2,0,0,3
"308",0,0,2,2,0,0,5
"309",0,0,2,2,0,0,1
"310",0,30,2,2,0,0,0
"311",12,120,1,2,1,4,0
"312",2,60,1,2,2,3,0
"313",0,0,2,2,0,0,3
"314",0,0,2,2,0,0,5
"315",0,0,2,2,0,0,3
"316",0,0,2,2,0,0,3
"317",0,0,2,2,0,0,1
"318",0,0,2,2,0,0,3
"319",0,0,2,2,0,0,3
"320",1,20,1,2,2,5,0
"321",0,0,2,2,0,0,2
"322",0,0,0,0,0,0,0
"323",0,0,2,2,0,0,3
"324",3,60,1,2,2,4,0
"325",0,60,2,2,0,0,0
"326",1,30,1,2,1,4,0
"327",0,0,2,2,0,0,2
"328",0,0,2,2,0,0,1
"329",5,30,1,2,2,4,0
"330",0,30,2,2,0,0,0
"331",4,60,1,2,2,3,0
"332",0,15,2,2,0,0,0
"333",0,25,2,2,0,0,0
"334",0,10,2,1,0,0,0
"335",0,35,2,2,0,0,0
"336",2,15,1,2,2,4,0
"337",0,40,2,2,0,0,0
"338",0,20,2,2,0,0,0
"339",5,60,1,2,2,3,0
"340",3,90,1,2,1,3,0
"341",5,90,1,2,1,2,0
"342",0,60,2,2,0,0,0
"343",10,40,1,2,2,2,0
"344",0,10,2,2,0,0,0
"345",0,20,2,2,0,0,0
"346",2,30,1,2,2,4,0
"347",1,30,1,2,2,2,0
"348",1,30,1,2,2,2,0
"349",0,0,2,2,0,0,3
"350",0,0,2,2,0,0,3
"351",0,0,2,2,0,0,1
"352",8,50,1,2,2,4,0
"353",0,0,2,2,0,0,3
"354",0,15,2,2,0,0,0
"355",3,90,1,2,2,4,0
"356",0,20,2,2,0,0,0
"357",0,30,2,2,0,0,0
"358",0,0,2,2,0,0,3
"359",0,25,2,2,0,0,0
"360",0,0,2,2,0,0,1
"361",0,0,2,2,0,0,3
"362",4,40,1,2,2,4,0
"363",0,10,2,2,0,0,0
"364",0,15,2,2,0,0,0
"365",0,30,2,2,0,0,0
"366",0,0,2,2,0,0,2
"367",1,35,1,2,2,5,0
"368",2,35,1,2,2,3,0
"369",0,0,2,2,0,0,5
"370",0,0,2,2,0,0,1
"371",0,20,2,2,0,0,0
"372",0,0,2,2,0,0,3
"373",0,25,2,2,0,0,0
"374",0,90,2,2,0,0,0
"375",0,0,2,2,0,0,3
"376",3,60,1,2,2,4,0
"377",0,0,2,2,0,0,3
"378",1,30,1,2,2,3,0
"379",0,40,2,2,0,0,0
"380",0,20,2,2,0,0,0
"381",0,0,2,2,0,0,5
"382",0,20,2,2,0,0,0
"383",1,20,1,2,2,4,0
"384",0,0,2,2,0,0,2
"385",0,0,2,2,0,0,5
"386",0,0,2,2,0,0,5
"387",0,0,2,2,0,0,3
"388",0,0,2,2,0,0,5
"389",1,60,1,2,2,4,0
"390",0,30,2,2,0,0,0
"391",1,30,1,2,2,3,0
"392",5,60,1,2,2,4,0
"393",6,30,1,2,1,4,0
"394",0,0,2,2,0,0,1
"395",0,0,2,2,0,0,3
"396",0,0,2,2,0,0,5
"397",2,30,1,2,2,3,0
"398",0,0,2,2,0,0,1
"399",0,20,2,2,0,0,0
"400",4,30,1,2,2,3,0
