"","p4","p26","p3_1","p3_4","p8_1","p5","p32","edad"
"367",0,10,2,2,0,0,0,45
"368",0,0,2,2,0,0,5,76
"369",0,0,2,2,0,0,3,59
"370",0,0,2,2,0,0,3,42
"371",10,120,1,2,1,2,0,22
"372",0,0,2,2,0,0,5,76
"373",0,0,2,2,0,0,1,75
"374",3,60,1,2,2,3,0,29
"375",0,35,2,2,0,0,0,47
"376",1,30,1,2,2,4,0,46
"377",0,0,2,2,0,0,2,61
"378",1,35,1,2,2,3,0,44
"379",0,15,2,2,0,0,0,42
"380",0,0,2,2,0,0,5,78
"381",1,30,1,2,2,3,0,41
"382",0,20,2,2,0,0,0,39
"383",2,35,1,2,2,2,0,22
"384",4,60,1,2,2,4,0,28
"385",0,0,2,2,0,0,3,51
"386",1,60,1,2,2,4,0,47
"387",10,60,1,2,2,4,0,61
"388",3,60,1,2,2,3,0,55
"389",0,20,2,2,0,0,0,71
"390",4,60,1,2,2,3,0,74
"391",4,90,1,2,2,3,0,47
"392",4,90,1,2,1,2,0,19
"393",0,20,2,2,0,0,0,29
"394",0,20,2,2,0,0,0,22
"395",0,0,2,2,0,0,3,55
"396",0,0,2,2,0,0,5,87
"397",0,40,2,2,0,0,0,77
"398",0,30,2,2,0,0,0,50
"399",0,0,2,2,0,0,3,36
"400",0,30,2,2,0,0,0,67
"401",3,35,1,2,2,3,0,25
"402",0,0,2,2,0,0,3,52
"403",0,0,2,2,0,0,1,66
"404",0,0,2,2,0,0,2,33
"405",2,40,1,2,2,1,0,27
"406",0,35,2,2,0,0,0,25
"407",0,20,2,2,0,0,0,70
"408",0,20,2,2,0,0,0,70
"409",0,20,2,2,0,0,0,73
"410",0,0,2,2,0,0,3,30
"411",0,10,2,2,0,0,0,21
"412",1,30,1,2,2,4,0,28
"413",0,0,2,2,0,0,3,51
"414",0,15,2,2,0,0,0,38
"415",0,0,2,2,0,0,3,45
"416",2,60,1,2,2,4,0,37
"417",4,20,1,2,2,4,0,46
"418",0,0,2,2,0,0,3,39
"419",0,0,2,2,0,0,3,61
"420",0,0,2,2,0,0,3,41
"421",0,0,2,2,0,0,3,47
"422",0,0,2,2,0,0,1,57
"423",0,0,2,2,0,0,3,40
"424",0,0,2,2,0,0,1,66
"425",0,0,2,2,0,0,3,55
"426",7,60,1,2,1,2,0,22
"427",0,30,2,2,0,0,0,29
"428",0,0,2,2,0,0,3,48
"429",0,20,2,2,0,0,0,36
"430",0,20,2,2,0,0,0,71
"431",0,0,2,2,0,0,2,65
"432",0,0,2,2,0,0,3,64
"433",0,0,2,2,0,0,3,41
"434",0,20,2,2,0,0,0,60
"435",0,0,2,2,0,0,5,89
"436",0,0,2,2,0,0,3,36
"437",0,0,2,2,0,0,3,59
"438",0,0,2,2,0,0,2,19
"439",0,0,2,2,0,0,2,61
"440",0,20,2,2,0,0,0,56
"441",0,0,2,2,0,0,3,49
"442",0,0,2,2,0,0,2,64
"443",0,10,2,2,0,0,0,45
"444",0,0,2,2,0,0,3,56
"445",0,15,2,2,0,0,0,68
"446",60,60,1,2,1,4,0,52
"447",0,0,2,2,0,0,5,81
"448",3,40,1,2,2,2,0,24
"449",0,20,2,2,0,0,0,45
"450",5,90,1,2,2,3,0,58
"451",0,35,2,2,0,0,0,40
"452",0,0,2,2,0,0,3,50
"453",0,0,2,2,0,0,3,50
"454",3,40,1,2,2,2,0,20
"455",0,0,2,2,0,0,1,73
"456",5,60,1,2,2,2,0,22
"457",0,0,2,2,0,0,3,53
"458",0,0,2,2,0,0,5,72
"459",1,60,1,2,2,4,0,40
"460",0,0,2,2,0,0,3,50
"461",0,40,2,2,0,0,0,40
"462",0,0,2,2,0,0,5,83
"463",0,35,2,2,0,0,0,47
"464",0,0,2,2,0,0,3,28
"465",0,0,2,2,0,0,1,46
"466",0,0,2,2,0,0,3,53
"467",0,0,2,2,0,0,3,46
"468",0,0,2,2,0,0,3,47
"469",0,0,2,2,0,0,3,63
"470",0,20,2,2,0,0,0,25
"471",0,30,2,2,0,0,0,45
"472",0,30,2,2,0,0,0,22
"473",0,0,2,2,0,0,2,58
"474",0,0,2,2,0,0,3,40
"475",6,60,1,2,2,2,0,24
"476",0,40,2,2,0,0,0,20
"477",0,20,2,2,0,0,0,49
"478",0,30,2,2,0,0,0,74
"479",1,30,1,2,2,4,0,24
"480",0,15,2,2,0,0,0,55
"481",1,30,1,2,2,4,0,42
"482",0,20,2,2,0,0,0,42
"483",0,0,2,2,0,0,3,26
"484",0,0,2,2,0,0,5,72
"485",2,60,1,2,2,3,0,46
"486",2,120,1,2,2,1,0,50
"487",1,30,1,2,2,4,0,45
"488",0,30,2,2,0,0,0,23
"489",0,0,2,2,0,0,1,63
"490",0,0,2,2,0,0,3,57
"491",1,40,1,2,2,3,0,36
"492",0,0,2,2,0,0,2,64
"493",0,30,2,2,0,0,0,68
"494",1,40,1,2,1,3,0,49
"495",0,30,2,2,0,0,0,42
"496",1,40,1,2,2,4,0,58
"497",0,20,2,2,0,0,0,46
"498",0,30,2,2,0,0,0,75
"499",0,30,2,2,0,0,0,59
"500",0,25,2,2,0,0,0,38
"501",2,30,1,2,2,2,0,19
"502",0,0,2,2,0,0,2,19
"503",0,0,2,2,0,0,2,44
"504",0,0,2,2,0,0,3,30
"505",4,45,1,2,2,2,0,24
"506",0,0,2,2,0,0,3,52
"507",4,60,1,2,2,2,0,20
"508",0,0,2,2,0,0,5,64
"509",0,0,2,2,0,0,3,50
"510",0,0,2,2,0,0,1,64
"511",1,30,1,2,2,3,0,55
"512",0,0,2,2,0,0,2,18
"513",4,60,1,2,2,3,0,60
"514",0,0,2,2,0,0,2,76
"515",0,0,2,2,0,0,3,68
"516",0,0,2,2,0,0,3,53
"517",0,15,2,2,0,0,0,55
"518",0,10,2,2,0,0,0,48
"519",0,0,2,2,0,0,2,69
"520",1,60,1,2,2,4,0,74
"521",4,60,1,2,1,4,0,38
"522",0,0,2,2,0,0,3,50
"523",2,60,1,2,2,4,0,48
"524",2,30,1,2,2,3,0,76
"525",20,120,1,2,2,3,0,67
"526",2,60,1,2,1,1,0,43
"527",0,0,2,2,0,0,3,38
"528",0,30,2,2,0,0,0,51
"529",0,20,2,2,0,0,0,74
"530",0,0,2,2,0,0,1,38
"531",0,30,2,2,0,0,0,60
"532",0,30,2,2,0,0,0,73
"533",2,60,1,2,2,3,0,39
"534",1,30,1,2,2,4,0,33
"535",1,30,1,2,2,3,0,44
"536",0,0,2,2,0,0,3,42
"537",0,0,0,0,0,0,0,40
"538",0,0,2,2,0,0,3,39
"539",2,60,1,2,2,4,0,81
"540",0,20,2,2,0,0,0,59
"541",0,25,2,2,0,0,0,37
"542",5,120,1,2,1,2,0,21
"543",0,0,2,2,0,0,1,75
"544",0,20,2,2,0,0,0,74
"545",0,0,2,2,0,0,3,54
"546",4,90,1,2,2,2,0,21
"547",0,30,2,2,0,0,0,29
"548",0,10,2,2,0,0,0,64
"549",2,120,1,2,2,3,0,58
"550",4,40,1,2,2,3,0,35
"551",0,30,2,2,0,0,0,79
"552",0,30,2,2,0,0,0,44
"553",2,60,1,2,1,3,0,39
"554",0,0,2,2,0,0,5,82
"555",0,20,2,2,0,0,0,75
"556",2,60,1,2,2,3,0,68
"557",0,0,2,2,0,0,5,68
"558",1,30,1,2,2,3,0,71
"559",3,50,1,2,2,3,0,74
"560",0,0,2,2,0,0,3,56
"561",0,0,2,2,0,0,2,57
"562",0,10,2,2,0,0,0,49
"563",0,10,2,2,0,0,0,27
"564",5,120,1,2,2,4,0,18
"565",1,20,1,2,2,4,0,24
"566",4,30,1,2,2,4,0,25
"567",2,30,1,2,2,4,0,49
"568",0,0,2,2,0,0,5,30
"569",0,0,2,2,0,0,3,31
"570",3,40,1,2,2,5,0,76
"571",0,10,2,2,0,0,0,29
"572",0,0,2,2,0,0,5,89
"573",0,20,2,2,0,0,0,18
"574",0,40,2,2,0,0,0,51
"575",3,30,1,2,2,2,0,22
"576",4,20,1,2,2,1,0,34
"577",3,30,1,1,2,4,0,58
"578",0,6,2,2,0,0,0,66
"579",0,10,2,2,0,0,0,86
"580",1,40,1,2,2,4,0,44
"581",0,30,2,2,0,0,0,83
"582",0,0,2,2,0,0,3,52
"583",0,30,2,2,0,0,0,37
"584",0,5,2,2,0,0,0,42
"585",0,30,2,2,0,0,0,58
"586",0,0,2,2,0,0,5,76
"587",2,40,1,2,2,4,0,45
"588",0,20,2,2,0,0,0,40
"589",4,60,1,2,2,1,0,33
"590",0,0,2,2,0,0,5,68
"591",0,0,2,2,0,0,5,65
"592",0,45,2,2,0,0,0,24
"593",0,20,2,2,0,0,0,44
"594",0,25,2,2,0,0,0,30
"595",2,35,1,2,2,1,0,24
"596",6,30,1,2,2,3,0,32
"597",5,30,1,2,2,1,0,43
